"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
510030,"CUCHE Didier","SUI",1974,1996,1998,2,3,25,1,2007,0,22,24,"","","","","","",9,31,31,31,31,31,31,32,3
50753,"KROELL Klaus","AUT",1980,1996,2003,7,8,25,1,2012,0,16,23,"","","","","","",139,108,74,28,23,22,18,3,1
291459,"PARIS Dominik","ITA",1989,2005,2012,7,8,22,1,2020,0,16,23,6,7,9,1,1,1,1,2,4,3,3,5,14,2,14
511313,"JANKA Carlo","SUI",1986,2002,2009,7,8,24,2,2010,1.12,16,23,"",1487,947,507,14,12,13,19,31,9,9,14,18,32,17
102899,"OSBORNE-PARADIS Manuel","CAN",1984,2000,2007,7,8,23,6,2008,2.36,16,23,"","","","",53,40,40,72,17,11,21,16,20,14,61
421328,"SVINDAL Aksel Lund","NOR",1982,1999,2006,7,8,28,1,2013,0,17,24,394,226,128,87,51,38,6,7,2,18,2,31,1,1,6
512471,"VON ALLMEN Franjo","SUI",2001,2018,2025,7,8,9,1,2025,0,17,24,1,1,28,63,110,188,365,708,845,"","","","","",""
532431,"MILLER Bode","USA",1977,1996,2003,7,8,24,2,2005,0.06,19,26,"","","","","","","",50,31,31,31,31,8,32,5
511383,"FEUZ Beat","SUI",1987,2003,2011,8,9,22,1,2018,0,16,24,"","",23,1,1,1,1,1,1,4,5,8,22,32,2
292455,"FILL Peter","ITA",1982,1998,2006,8,9,24,1,2016,0,16,24,"","","","","",104,8,31,10,1,1,20,11,21,22
422139,"KILDE Aleksander Aamodt","NOR",1992,2008,2016,8,9,19,1,2022,0,16,24,7,6,1,1,1,6,7,4,15,12,12,95,110,104,200
53902,"MAYER Matthias","AUT",1990,2006,2014,8,9,20,1,2020,0,16,24,"",42,8,7,1,1,1,10,7,7,31,4,2,24,54
53817,"FRANZ Max","AUT",1989,2005,2013,8,9,22,9,2013,3.94,16,24,26,22,26,22,21,19,15,12,10,14,27,11,13,9,24
202535,"DRESSEN Thomas","GER",1993,2010,2018,8,9,17,1,2020,0,17,25,133,81,37,1,1,1,1,31,3,24,66,65,187,263,252
512269,"ODERMATT Marco","SUI",1997,2014,2022,8,9,13,1,2024,0,17,25,1,1,1,6,11,22,77,57,58,153,151,460,757,"",""
102263,"GUAY Erik","CAN",1981,1998,2006,8,9,23,3,2007,2.05,17,25,"","","","","","",17,31,31,5,12,31,4,6,7
293006,"INNERHOFER Christof","ITA",1984,2001,2009,8,9,26,4,2013,1.99,17,25,45,30,36,45,16,13,14,6,14,31,12,30,6,4,16
512408,"MONNEY Alexis","SUI",2000,2017,2025,8,9,10,4,2025,0.44,17,25,4,4,30,29,72,96,137,296,325,657,"","","","",""
6293831,"FRANZONI Giovanni","ITA",2001,2018,2026,8,9,9,5,2026,0.53,17,25,5,68,114,112,114,132,204,336,398,"","","","","",""
533866,"NYMAN Steven","USA",1982,1999,2007,8,9,26,6,2016,1.12,17,25,"","",60,49,50,36,27,17,31,23,6,7,39,26,89
104531,"CRAWFORD James","CAN",1997,2014,2022,8,9,13,8,2025,3.19,17,25,8,8,13,12,15,72,60,55,76,156,153,214,552,"",""
51215,"BAUMANN Romed","GER",1986,2002,2011,9,10,25,5,2011,2.72,16,25,29,28,19,17,25,20,29,62,22,20,16,10,21,20,8
51327,"PUCHNER Joachim","AUT",1987,2003,2012,9,10,16,12,2012,3.66,16,25,"","","","","","","","",70,56,49,45,83,22,12
103271,"THOMSEN Benjamin","CAN",1987,2003,2012,9,10,21,14,2019,4.29,16,25,"","","",96,84,67,34,14,93,93,28,27,78,32,15
510727,"DEFAGO Didier","SUI",1977,1996,2005,9,10,28,3,2010,1.8,19,28,"","","",611,322,252,161,115,81,46,31,12,16,25,13
292514,"HEEL Werner","ITA",1982,1998,2008,10,11,23,5,2008,2.97,16,26,"","","","","","",105,46,49,92,40,16,17,11,68
561216,"KLINE Bostjan","SLO",1991,2007,2017,10,11,20,6,2017,3.01,16,26,117,73,43,34,34,51,80,78,31,6,17,58,85,73,96
530874,"GANONG Travis","USA",1988,2004,2014,10,11,22,9,2014,3.12,16,26,"",42,22,20,17,14,16,20,31,13,11,9,9,22,30
104537,"ALEXANDER Cameron","CAN",1997,2014,2024,10,11,13,9,2025,3.62,17,27,11,9,11,24,25,42,46,88,202,261,310,395,437,"",""
102271,"HUDEC Jan","CZE",1981,1998,2008,10,11,21,9,2012,3.5,17,27,"","","","","","","","",195,82,70,61,25,16,9
53980,"KRIECHMAYR Vincent","AUT",1991,2007,2018,11,12,20,1,2020,0,16,27,9,10,1,1,1,1,1,3,6,16,18,21,73,96,103
6530104,"BENNETT Bryce","USA",1992,2008,2019,11,12,19,5,2024,1.73,16,27,18,5,5,16,19,25,21,8,20,26,100,72,65,89,152
511139,"KUENG Patrick","SUI",1984,2000,2011,11,12,21,6,2015,2.62,16,27,"","","","","","",64,86,27,15,31,6,7,17,20
