"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
296008,"MERIGHETTI Daniela","ITA",1981,1998,1999,1,2,21,0,1999,3,17,18,"","","","","","","","",106,64,22,14,15,11,7
516138,"GUT-BEHRAMI Lara","SUI",1991,2007,2009,2,3,20,1,2020,0,16,18,16,10,10,5,1,1,1,16,11,3,4,5,4,10,18
515747,"GISIN Dominique","SUI",1985,2005,2007,2,3,19,5,2009,2.43,20,22,"","","",371,203,162,106,70,45,38,35,19,7,20,12
296729,"FANCHINI Nadia","ITA",1986,2003,2006,3,4,19,3,2009,2.88,17,20,"","","","","",17,20,9,15,27,6,24,41,23,33
296472,"FANCHINI Elena","ITA",1985,2003,2006,3,4,18,8,2015,3.05,18,21,"","","","","","",38,46,28,16,24,8,10,19,13
507168,"AICHER Emma","GER",2003,2022,2025,3,4,5,6,2025,0.08,19,22,6,6,33,65,102,"","","","","","","","","",""
206001,"HOEFL-RIESCH Maria","GER",1984,2000,2004,4,5,16,1,2014,0,16,20,"","","","","","","","","","","",31,1,3,4
537544,"VONN Lindsey","USA",1984,2000,2004,4,5,23,1,2008,0,16,20,1,30,"","","","",36,23,2,4,1,1,31,2,1
537545,"MANCUSO Julia","USA",1984,2000,2005,5,6,19,2,2007,1.58,16,21,"","","","","","","","",37,35,37,15,13,6,5
196460,"JAY MARCHAND-ARVIER Marie","FRA",1985,2002,2007,5,6,17,8,2012,3.38,17,22,"","","","","","","","",141,90,50,29,31,14,8
6535237,"SHIFFRIN Mikaela","USA",1995,2013,2018,5,6,14,4,2021,0.74,18,23,9,5,19,24,4,4,6,26,7,74,118,634,401,371,""
56198,"SCHEYER Christine","AUT",1994,2012,2017,5,6,14,6,2022,1.49,18,23,"",45,7,6,6,36,39,42,30,10,57,691,629,318,359
245066,"MIKLOS Edit","HUN",1988,2011,2016,5,6,11,14,2016,4.21,23,28,"","","","","",315,165,110,39,21,14,21,23,43,55
516319,"SUTER Corinne","SUI",1994,2010,2016,6,7,17,1,2021,0,16,22,7,17,5,1,1,1,5,5,19,17,9,37,40,62,65
55750,"FISCHBACHER Andrea","AUT",1985,2001,2007,6,7,16,2,2009,2.59,16,22,"","","","","","","","","","",59,33,9,28,17
55947,"VEITH Anna","AUT",1989,2005,2011,6,7,17,2,2015,0.77,16,22,"","","","","",74,48,41,13,31,31,2,3,8,19
6535455,"JOHNSON Breezy","USA",1996,2012,2018,6,7,15,7,2025,1.03,16,22,8,7,29,11,9,8,25,35,10,18,44,93,140,253,1127
6536821,"MACUGA Lauren","USA",2002,2019,2025,6,7,8,9,2025,2.55,17,23,11,9,49,85,134,142,176,211,"","","","","","",""
