"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
50625,"RAICH Benjamin","AUT",1978,1996,1999,3,4,25,1,2005,0,18,21,"","","","","","",1315,685,323,150,69,10,6,14,13
53985,"MATHIS Marcel","AUT",1991,2009,2012,3,4,11,15,2012,5.01,18,21,"","","","","","","",122,50,46,112,67,30,15,15
53831,"HIRSCHER Marcel","NED",1989,2005,2009,4,5,22,1,2012,0,16,20,99,1042,367,85,38,35,1,1,1,1,1,1,2,2,1
422304,"KRISTOFFERSEN Henrik","NOR",1994,2010,2014,4,5,17,1,2020,0,16,20,7,5,3,1,1,6,1,2,2,5,3,8,10,64,64
422729,"PINHEIRO BRAATHEN Lucas","BRA",2000,2017,2021,4,5,10,1,2026,0,17,21,1,6,7,7,9,12,19,31,98,1004,"","","","",""
422732,"MCGRATH Atle Lie","NOR",2000,2017,2021,4,5,10,9,2026,2.68,17,21,9,14,19,20,16,14,56,82,196,839,"","","","",""
202462,"DOPFER Fritz","GER",1987,2008,2012,4,5,15,4,2015,3.32,21,25,"","","","",142,121,53,112,25,60,17,4,7,9,7
194364,"PINTURAULT Alexis","FRA",1991,2007,2012,5,6,20,1,2020,0,16,21,12,9,6,9,1,1,1,3,3,2,2,3,3,3,4
512269,"ODERMATT Marco","SUI",1997,2014,2019,5,6,13,1,2021,0,17,22,1,1,1,1,1,1,10,7,31,59,57,539,899,"",""
292000,"BLARDONE Massimiliano","ITA",1979,1996,2001,5,6,23,2,2006,1.29,17,22,"","","","","","","","",90,40,19,30,28,12,3
194495,"FAIVRE Mathieu","FRA",1992,2008,2014,6,7,19,1,2021,0,16,22,366,120,71,21,1,1,12,10,11,3,4,20,13,25,39
534562,"LIGETY Ted","USA",1984,2000,2006,6,7,23,1,2008,0,16,22,"","","","",25,20,17,17,12,24,16,2,1,1,2
512182,"MEILLARD Loic","SUI",1996,2012,2018,6,7,15,1,2025,0,16,22,1,1,2,4,8,10,8,5,10,28,31,36,202,1108,1247
202437,"LUITZ Stefan","GER",1992,2008,2014,6,7,19,6,2020,1.72,16,22,86,54,51,22,27,25,6,15,15,8,10,22,14,20,45
422766,"STEEN OLSEN Alexander","NOR",2001,2018,2024,6,7,9,1,2025,0,17,23,1,1,9,26,43,82,211,179,834,"","","","","",""
511313,"JANKA Carlo","SUI",1986,2002,2009,7,8,24,1,2010,0,16,23,"",5074,3948,2637,1314,1133,445,228,191,183,26,11,23,36,16
292491,"MOELGG Manfred","ITA",1982,1998,2005,7,8,26,3,2008,1.5,16,23,"","","",96,41,37,39,23,13,19,20,58,18,4,20
501324,"OLSSON Matts","SWE",1988,2004,2011,7,8,22,6,2018,3.97,16,23,"",767,243,58,34,30,16,8,6,7,36,17,12,26,21
511852,"CAVIEZEL Gino","SUI",1992,2008,2015,7,8,19,11,2023,4.05,16,23,26,22,14,11,12,16,22,18,20,22,23,15,49,49,77
421328,"SVINDAL Aksel Lund","NOR",1982,1999,2006,7,8,28,1,2007,0,17,24,6191,5948,5592,4914,3847,3429,2131,1273,621,535,102,83,18,5,11
421483,"JANSRUD Kjetil","NOR",1985,2001,2009,8,9,26,3,2010,1,16,24,5176,4071,2667,1391,538,429,171,1068,497,153,111,21,185,21,9
54063,"FELLER Manuel","AUT",1992,2008,2016,8,9,19,5,2018,2.86,16,24,65,13,8,8,10,28,23,13,5,16,13,41,41,103,218
511896,"MURISIER Justin","SUI",1992,2008,2016,8,9,19,8,2018,4.71,16,24,75,91,26,18,21,18,29,88,8,12,11,38,76,62,54
