"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
516138,"GUT-BEHRAMI Lara","SUI",1991,2007,2009,2,3,20,1,2024,0,16,18,8,1,1,5,8,5,19,28,23,6,3,24,4,6,17
6535237,"SHIFFRIN Mikaela","USA",1995,2011,2013,2,3,16,1,2019,0,16,18,10,5,1,1,1,4,1,1,2,2,21,3,5,13,63
415232,"ROBINSON Alice","NZL",2001,2018,2020,2,3,9,1,2020,0,17,19,1,4,8,15,1,1,1,20,75,"","","","","",""
565243,"MAZE Tina","SLO",1983,1999,2002,3,4,22,1,2013,0,16,19,"","","","","","",15,32,31,31,31,5,7,1,5
196928,"WORLEY Tessa","FRA",1989,2005,2008,3,4,21,1,2017,0,16,19,"",38,11,1,1,8,6,3,3,1,11,14,16,3,3
565471,"HROVAT Meta","SLO",1998,2015,2018,3,4,12,10,2021,4.41,17,20,290,77,25,20,12,10,17,15,12,61,110,531,"","",""
299276,"BASSINO Marta","ITA",1996,2012,2016,4,5,15,1,2021,0,16,20,21,8,4,4,1,1,7,8,9,5,13,22,32,180,415
297601,"BRIGNONE Federica","ITA",1990,2006,2010,4,5,21,1,2020,0,16,20,1,1,1,8,1,1,1,5,5,4,4,9,12,31,6
205218,"REBENSBURG Viktoria","GER",1989,2005,2009,4,5,19,1,2011,0,16,20,"","","",93,38,13,5,4,1,7,2,7,9,4,1
55838,"ZETTEL Kathrin","AUT",1986,2002,2006,4,5,15,2,2009,0.31,16,20,"","","","","","","","","","",31,6,7,5,19
296729,"FANCHINI Nadia","ITA",1986,2002,2006,4,5,20,8,2015,3.69,16,20,"","","","","",341,279,182,84,30,16,8,9,18,28
385116,"LJUTIC Zrinka","CRO",2004,2021,2025,4,5,6,11,2025,8.19,17,21,14,11,17,58,58,49,"","","","","","","","",""
185140,"POUTIAINEN Tanja","FIN",1980,1996,2001,5,6,21,1,2005,0,16,21,"","","","","","","","","","",299,159,22,22,13
55759,"KIRCHGASSER Michaela","AUT",1985,2001,2006,5,6,26,3,2007,1.99,16,21,3815,3318,2568,1764,961,827,312,204,94,16,12,16,24,17,21
505760,"PIETILAE HOLMNER Maria","SWE",1986,2002,2007,5,6,19,3,2014,2.37,16,21,"","","","","","",410,246,70,45,8,12,3,27,29
537545,"MANCUSO Julia","USA",1984,2000,2005,5,6,19,4,2007,2.94,16,21,"","","","","","","","",539,469,398,226,53,12,9
196725,"BARIOZ Taina","FRA",1988,2004,2009,5,6,17,10,2016,4.33,16,21,"","","","","","",68,67,30,31,10,29,73,25,12
56388,"LIENSBERGER Katharina","AUT",1997,2014,2019,5,6,13,12,2021,4.91,17,22,42,30,20,17,14,12,26,13,40,59,178,372,425,"",""
55898,"BREM Eva-Maria","AUT",1988,2004,2010,6,7,22,1,2016,0,16,22,"",1126,491,166,62,53,41,17,31,31,1,2,11,14,20
705423,"VLHOVA Petra","SVK",1995,2011,2017,6,7,16,1,2020,0,16,22,6,6,7,6,1,6,1,2,14,11,140,246,228,213,351
506399,"HECTOR Sara","SWE",1992,2008,2015,7,8,19,1,2022,0,16,23,1,1,6,1,1,17,14,12,11,19,27,4,29,50,31
295445,"KARBON Denise","ITA",1980,1996,2003,7,8,23,1,2008,0,16,23,"","","","","","","","",877,450,234,117,21,24,14
55947,"VEITH Anna","AUT",1989,2005,2012,7,8,17,1,2014,0,16,23,"","","","","",155,15,18,28,31,31,1,1,2,4
55576,"GOERGL Elisabeth","AUT",1981,1997,2004,7,8,22,2,2008,1.19,16,23,"","","","","","","","",458,238,94,26,24,16,7
425929,"MOWINCKEL Ragnhild","NOR",1992,2008,2015,7,8,19,4,2018,1.85,16,23,52,16,9,9,13,11,10,6,4,12,24,15,30,58,56
196793,"MARMOTTAN Anemone","FRA",1988,2004,2011,7,8,15,6,2014,3.3,16,23,"","","","","","","","",31,31,31,28,6,19,18
56217,"BRUNNER Stephanie","AUT",1994,2010,2017,7,8,17,7,2018,3.91,16,23,23,23,26,26,15,14,11,10,7,10,20,56,54,171,156
426193,"STJERNESUND Thea Louise","NOR",1996,2012,2019,7,8,15,10,2023,5.13,16,23,13,10,10,10,17,35,43,14,31,76,76,157,153,507,1218
6536392,"HURT A J","USA",2000,2017,2024,7,8,10,9,2025,6,17,24,47,9,12,86,31,23,27,46,50,399,"","","","",""
537544,"VONN Lindsey","USA",1984,2000,2008,8,9,23,2,2012,1.97,16,24,3980,3645,"","","","",224,133,69,43,18,27,104,23,2
296259,"MOELGG Manuela","ITA",1983,1999,2007,8,9,21,3,2008,2.46,16,24,"","","","","","","",40,6,8,15,20,18,29,22
55590,"SCHILD Marlies","AUT",1981,1997,2005,8,9,19,11,2008,4.46,16,24,"","","","","","","","","","","",136,67,61,15
516268,"WILD Simone","SUI",1993,2009,2017,8,9,18,14,2017,4.99,16,24,53,61,49,30,31,58,86,82,26,14,55,77,140,134,350
298323,"GOGGIA Sofia","ITA",1992,2008,2017,9,10,19,3,2017,2.59,16,25,18,17,19,43,22,19,22,62,19,3,22,54,44,45,107
355050,"WEIRATHER Tina","LIE",1989,2005,2014,9,10,20,5,2016,3,16,25,"","",3103,2392,1511,1352,649,274,62,15,5,10,13,56,30
516280,"HOLDENER Wendy","SUI",1993,2009,2018,9,10,18,7,2019,3.04,16,25,90,38,29,27,9,7,8,7,8,23,30,43,58,64,93
426100,"HOLTMANN Mina Fuerst","NOR",1995,2011,2020,9,10,16,9,2020,3.28,16,25,11,15,13,12,10,9,9,23,47,71,58,59,191,266,805
56174,"HAASER Ricarda","AUT",1993,2009,2018,9,10,18,11,2019,4.56,16,25,68,20,21,18,27,60,20,11,15,27,31,31,249,135,133
56416,"SCHEIB Julia","AUT",1998,2015,2024,9,10,12,1,2026,0,17,26,1,12,15,48,51,40,33,39,57,184,185,588,"","",""
515747,"GISIN Dominique","SUI",1985,2004,2013,9,10,20,11,2013,4.58,19,28,"","","",2043,1210,1051,440,254,127,66,43,21,14,11,81
206001,"HOEFL-RIESCH Maria","GER",1984,2000,2010,10,11,16,7,2010,3.59,16,26,"","","","","","","","","","","",47,15,7,16
55818,"KOEHLE Stefanie","AUT",1986,2002,2012,10,11,14,11,2012,4.73,16,26,"","","","","","","","","","","",69,65,14,11
426043,"TVIBERG Maria Therese","NOR",1994,2010,2020,10,11,17,13,2020,7.06,16,26,150,34,28,25,16,16,13,103,169,105,88,82,179,182,306
516562,"RAST Camille","SUI",1999,2016,2026,10,11,11,5,2026,0.61,17,27,5,18,27,23,26,59,94,88,66,67,161,"","","",""
107613,"GRENIER Valerie","CAN",1996,2012,2023,11,12,15,5,2024,0.87,16,27,9,7,5,7,19,116,110,30,47,62,50,48,291,369,534
425771,"HAVER-LOESETH Nina","NOR",1989,2005,2016,11,12,22,6,2016,3.32,16,27,2305,1477,719,262,93,82,21,30,17,13,6,18,17,42,169
296509,"CURTONI Irene","ITA",1985,2001,2012,11,12,22,8,2012,4.17,16,27,"","","","",72,63,70,29,19,25,17,17,129,10,8
516284,"GISIN Michelle","SUI",1993,2009,2020,11,12,18,11,2022,4.01,16,27,378,83,71,11,11,15,12,468,223,167,131,134,202,523,347
105269,"GAGNON Marie-Michele","CAN",1989,2005,2016,11,12,21,14,2016,4.63,16,27,"",2834,2044,1202,540,445,75,25,43,16,14,50,19,20,26
56315,"TRUPPE Katharina","AUT",1996,2012,2023,11,12,15,14,2023,5.52,16,27,101,97,93,14,20,25,34,22,111,24,63,100,160,300,765
