"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
510030,"CUCHE Didier","SUI",1974,1996,1998,2,3,25,1,2011,0,22,24,"","","","","","",56,38,31,31,31,31,31,32,2
510727,"DEFAGO Didier","SUI",1977,1996,2001,5,6,28,2,2009,1.42,19,24,"","","",1308,624,531,273,180,119,66,41,7,8,28,19
53902,"MAYER Matthias","AUT",1990,2006,2012,6,7,20,2,2013,0.51,16,22,"",80,36,4,6,5,6,6,5,9,18,4,5,2,13
421328,"SVINDAL Aksel Lund","NOR",1982,1999,2005,6,7,28,1,2009,0,17,23,813,390,180,96,50,40,12,10,3,22,3,31,1,1,1
180570,"ROMAR Andreas","FIN",1989,2006,2012,6,7,21,15,2012,4.6,17,23,2600,1906,1024,468,231,196,117,226,141,144,79,74,121,22,15
54628,"FEURSTEIN Lukas","AUT",2001,2019,2025,6,7,8,11,2026,4.03,18,24,11,14,29,72,72,106,240,509,"","","","","","",""
50742,"REICHELT Hannes","AUT",1980,1996,2003,7,8,31,1,2008,0,16,23,410,213,108,46,20,17,20,15,4,3,13,3,20,7,8
54005,"STRIEDINGER Otmar","AUT",1991,2007,2014,7,8,20,6,2014,3.07,16,23,70,76,86,78,74,58,79,60,67,60,42,16,6,51,51
53817,"FRANZ Max","AUT",1989,2005,2012,7,8,22,7,2017,3.26,16,23,58,54,43,27,34,36,15,12,7,7,22,11,11,20,14
512269,"ODERMATT Marco","SUI",1997,2014,2021,7,8,13,1,2022,0,17,24,1,1,1,1,1,6,16,18,43,109,104,351,822,"",""
512471,"VON ALLMEN Franjo","SUI",2001,2018,2025,7,8,9,2,2026,0.26,17,24,2,9,20,81,105,227,853,973,1084,"","","","","",""
532431,"MILLER Bode","USA",1977,1996,2003,7,8,24,1,2005,0,19,26,"","","","","","","",44,31,31,31,31,3,39,16
422139,"KILDE Aleksander Aamodt","NOR",1992,2008,2016,8,9,19,1,2016,0,16,24,37,39,1,1,1,3,4,5,12,2,1,26,26,32,171
53980,"KRIECHMAYR Vincent","AUT",1991,2007,2015,8,9,20,1,2020,0,16,24,3,1,1,5,1,1,1,2,2,10,4,8,24,54,90
511313,"JANKA Carlo","SUI",1986,2002,2010,8,9,24,5,2010,2,16,24,"",638,287,147,79,66,66,67,59,18,5,10,17,29,28
292455,"FILL Peter","ITA",1982,1998,2006,8,9,24,6,2017,2.59,16,24,"","","","","",87,23,52,15,6,9,20,9,17,25
194364,"PINTURAULT Alexis","FRA",1991,2007,2015,8,9,20,6,2023,3.5,16,24,14,13,8,6,9,9,11,24,20,19,27,9,16,21,22
6293831,"FRANZONI Giovanni","ITA",2001,2018,2026,8,9,9,6,2026,2.6,17,25,6,30,54,31,43,80,194,340,572,"","","","","",""
104531,"CRAWFORD James","CAN",1997,2014,2022,8,9,13,9,2023,5.64,17,25,21,21,19,9,12,24,39,31,31,89,86,179,706,"",""
422707,"MOELLER Fredrik","NOR",2000,2017,2025,8,9,10,9,2026,3.64,17,25,9,10,32,91,117,300,405,531,1423,1485,"","","","",""
512408,"MONNEY Alexis","SUI",2000,2017,2025,8,9,10,10,2026,3.65,17,25,10,11,38,85,98,103,149,323,399,900,"","","","",""
50625,"RAICH Benjamin","AUT",1978,1996,2004,8,9,25,3,2008,1.11,18,26,"","","","","","",3361,2949,2261,1258,604,324,194,32,7
102263,"GUAY Erik","CAN",1981,1997,2006,9,10,24,2,2010,0.6,16,25,"","","","","","",7,31,31,5,20,66,22,14,12
511383,"FEUZ Beat","SUI",1987,2003,2012,9,10,22,3,2012,0.76,16,25,"","",94,11,14,20,24,13,6,8,12,21,29,32,3
293006,"INNERHOFER Christof","ITA",1984,2000,2009,9,10,27,3,2011,1.16,16,25,23,41,50,40,7,7,10,8,9,16,11,21,15,11,10
51215,"BAUMANN Romed","GER",1986,2002,2011,9,10,25,7,2011,2.08,16,25,65,43,39,22,15,13,78,62,64,29,15,15,19,18,21
202535,"DRESSEN Thomas","GER",1993,2009,2018,9,10,18,8,2023,3.83,16,25,34,22,148,8,10,10,13,31,10,67,88,85,346,169,164
51327,"PUCHNER Joachim","AUT",1987,2003,2012,9,10,16,9,2013,3.51,16,25,"","","","","","","","",159,117,96,29,24,9,11
194190,"ROGER Brice","FRA",1990,2006,2015,9,10,19,10,2023,4.86,16,25,"","",51,10,11,11,14,16,23,31,31,14,48,52,128
422310,"SEJERSTED Adrian Smiseth","NOR",1994,2010,2019,9,10,17,11,2019,3.97,16,25,25,20,18,23,16,14,19,11,22,24,55,81,82,83,249
561216,"KLINE Bostjan","SLO",1991,2007,2016,9,10,20,14,2016,4,16,25,353,188,90,76,76,65,55,24,21,15,14,41,76,52,52
54445,"HAASER Raphael","AUT",1997,2014,2023,9,10,13,5,2026,2.49,17,26,5,6,15,15,36,28,51,43,116,178,308,343,721,"",""
512303,"BOISSET Arnaud","SUI",1998,2015,2024,9,10,12,13,2024,4.14,17,26,16,17,13,36,67,52,82,169,180,346,854,1367,"","",""
291459,"PARIS Dominik","ITA",1989,2005,2015,10,11,22,1,2019,0,16,26,7,7,16,14,8,8,1,1,14,4,10,2,83,24,108
100558,"COOK Dustin","CAN",1989,2005,2015,10,11,16,5,2015,3.09,16,26,"","","","","","",67,73,15,23,31,5,46,59,59
192746,"THEAUX Adrien","FRA",1984,2000,2010,10,11,27,6,2013,2.75,16,26,71,38,34,16,17,15,18,14,10,20,7,6,14,6,9
50858,"STREITBERGER Georg","AUT",1981,1997,2007,10,11,22,8,2013,2.28,16,26,"","","","","","","","",353,40,26,13,12,8,20
102899,"OSBORNE-PARADIS Manuel","CAN",1984,2000,2010,10,11,23,11,2010,3.82,16,26,"","","","",56,46,50,104,26,13,64,25,28,87,115
104537,"ALEXANDER Cameron","CAN",1997,2014,2024,10,11,13,9,2024,3.69,17,27,24,12,9,120,108,97,118,139,161,268,269,794,1127,"",""
104468,"READ Jeffrey","CAN",1997,2014,2024,10,11,13,11,2024,4.09,17,27,42,15,11,24,65,82,76,47,47,99,164,540,767,"",""
421483,"JANSRUD Kjetil","NOR",1985,2001,2012,11,12,26,1,2015,0,16,27,1560,807,353,176,5,4,5,4,1,1,2,1,2,9,4
292514,"HEEL Werner","ITA",1982,1998,2009,11,12,23,2,2009,1.42,16,27,"","","","","","",327,214,134,137,141,79,23,5,79
53831,"HIRSCHER Marcel","NED",1989,2005,2016,11,12,22,6,2016,2.73,16,27,3051,2444,1674,791,399,332,188,77,86,25,6,24,155,110,27
200379,"SANDER Andreas","GER",1989,2005,2016,11,12,22,11,2017,4.1,16,27,74,65,17,12,21,22,17,28,13,11,15,68,69,79,68
293550,"MARSAGLIA Matteo","ITA",1985,2001,2013,12,13,24,2,2013,3.12,16,28,"","",64,47,88,92,31,65,65,53,46,17,31,2,16
54320,"SCHWARZ Marco","AUT",1995,2011,2023,12,13,16,4,2025,2.1,16,28,8,4,10,7,29,106,221,146,712,396,302,163,162,173,364
512182,"MEILLARD Loic","SUI",1996,2012,2024,12,13,15,5,2025,2.32,16,28,57,5,6,20,25,25,70,90,92,118,115,143,168,174,1290
530939,"WEIBRECHT Andrew","USA",1986,2002,2014,12,13,19,8,2016,2.81,16,28,"","","","","",405,"",161,30,27,8,12,13,71,24
511513,"CAVIEZEL Mauro","SUI",1988,2004,2017,13,14,21,1,2022,0,16,29,"","",4,1,1,2,3,3,18,12,31,19,43,58,54
534562,"LIGETY Ted","USA",1984,2000,2013,13,14,23,4,2013,3.28,16,29,"","","","",205,178,140,72,39,37,25,28,18,4,114
50753,"KROELL Klaus","AUT",1980,1996,2009,13,14,25,5,2012,1.83,16,29,"","","","","","",490,318,201,115,109,97,96,16,5
6530319,"COCHRAN-SIEGLE Ryan","USA",1992,2008,2021,13,14,19,12,2021,5.6,16,29,19,24,23,13,13,12,25,22,50,65,106,88,77,30,49
530874,"GANONG Travis","USA",1988,2004,2017,13,14,22,13,2017,4.66,16,29,"",224,110,19,23,26,28,17,66,13,19,27,21,63,86
54371,"BABINSKY Stefan","AUT",1996,2013,2026,13,14,14,12,2026,4.16,17,30,12,37,22,17,39,47,42,35,117,126,199,211,598,711,""
194873,"SARRAZIN Cyprien","FRA",1994,2010,2024,14,15,17,3,2025,0.81,16,30,4,3,5,29,62,86,103,119,112,104,143,331,329,340,509
511139,"KUENG Patrick","SUI",1984,2000,2014,14,15,21,4,2014,1.86,16,30,"","","","","","",464,300,105,47,44,18,4,25,52
512038,"ROGENTIN Stefan","SUI",1994,2010,2024,14,15,17,7,2024,3.03,16,30,17,8,7,18,31,43,46,37,45,81,108,196,322,330,332
202059,"FERSTL Josef","GER",1988,2004,2018,14,15,22,8,2018,2.76,16,30,"",103,123,25,33,62,9,9,8,17,37,40,38,42,87
192504,"MERMILLOD BLONDIN Thomas","FRA",1984,2000,2014,14,15,27,10,2014,3.64,16,30,2845,2244,1387,627,311,247,150,113,121,135,29,38,10,23,31
102271,"HUDEC Jan","CZE",1981,1997,2012,15,16,22,6,2012,2.5,16,31,"","","","","","","","",247,45,43,36,7,13,6
