"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
296008,"MERIGHETTI Daniela","ITA",1981,1998,1999,1,2,21,0,1999,4.65,17,18,"","","","","","","","",320,171,66,25,30,25,12
516138,"GUT-BEHRAMI Lara","SUI",1991,2007,2009,2,3,20,1,2014,0,16,18,1,1,1,1,1,1,17,6,2,3,1,5,1,8,8
296729,"FANCHINI Nadia","ITA",1986,2002,2005,3,4,20,2,2009,1.34,16,19,"","","","","",16,19,15,15,22,13,9,9,40,31
507168,"AICHER Emma","GER",2003,2022,2025,3,4,5,1,2026,0,19,22,1,12,30,30,56,"","","","","","","","","",""
206001,"HOEFL-RIESCH Maria","GER",1984,2000,2004,4,5,16,1,2008,0,16,20,"","","","","","","","","","","",31,4,6,6
55947,"VEITH Anna","AUT",1989,2005,2009,4,5,17,1,2015,0,16,20,"","","","","",30,28,26,3,26,31,1,2,3,3
297910,"CURTONI Elena","ITA",1991,2007,2011,4,5,20,5,2017,1.04,16,20,11,5,5,6,6,14,34,22,37,5,15,14,85,20,11
537544,"VONN Lindsey","USA",1984,2000,2005,5,6,23,1,2009,0,16,21,12,25,"","","","",3,31,8,14,3,2,26,4,1
537545,"MANCUSO Julia","USA",1984,2000,2005,5,6,19,2,2012,1.05,16,21,"","","","","","","","",47,47,37,11,12,2,2
55750,"FISCHBACHER Andrea","AUT",1985,2001,2006,5,6,16,3,2010,3.1,16,21,"","","","","","","","","","",239,157,63,15,15
516766,"BLANC Malorie","SUI",2004,2021,2026,5,6,6,7,2026,2.47,17,22,7,26,46,80,184,353,"","","","","","","","",""
515747,"GISIN Dominique","SUI",1985,2005,2010,5,6,19,8,2011,4.51,20,25,"","","",1566,1069,946,492,295,180,98,60,16,14,12,22
565243,"MAZE Tina","SLO",1983,1999,2005,6,7,22,1,2013,0,16,22,"","","","","","",13,31,31,31,31,3,7,1,4
205218,"REBENSBURG Viktoria","GER",1989,2005,2011,6,7,19,3,2019,0.64,16,22,"","","",66,38,12,6,3,11,9,5,9,13,5,19
6536821,"MACUGA Lauren","USA",2002,2019,2025,6,7,8,6,2026,1.78,17,23,6,7,21,95,170,161,176,182,"","","","","","",""
355050,"WEIRATHER Tina","LIE",1989,2005,2012,7,8,20,1,2017,0,16,23,"","",133,66,38,32,8,5,1,1,2,7,3,10,7
55690,"HOSP Nicole","AUT",1983,1999,2006,7,8,18,2,2007,2.17,16,23,"","","","","","","","","","",45,6,5,22,20
56128,"HUETTER Cornelia","AUT",1992,2008,2015,7,8,19,3,2024,0.15,16,23,13,4,3,4,16,37,40,25,12,31,4,4,19,37,49
516319,"SUTER Corinne","SUI",1994,2010,2017,7,8,17,3,2021,0.21,16,23,14,18,12,11,4,3,5,11,16,12,18,32,33,33,58
515766,"SUTER Fabienne","SUI",1985,2001,2008,7,8,20,3,2008,1.22,16,23,"","","","","","",458,281,171,31,11,19,18,7,5
56198,"SCHEYER Christine","AUT",1994,2010,2017,7,8,16,13,2017,4.78,16,23,"",59,58,46,43,35,38,44,25,13,101,166,137,133,373
415232,"ROBINSON Alice","NZL",2001,2019,2026,7,8,8,5,2026,1.11,18,25,5,16,28,20,21,76,88,113,"","","","","","",""
6535237,"SHIFFRIN Mikaela","USA",1995,2011,2019,8,9,16,1,2019,0,16,24,78,42,4,5,5,4,1,1,30,24,152,164,442,279,162
55970,"SCHMIDHOFER Nicole","AUT",1989,2005,2013,8,9,22,2,2019,0.33,16,24,84,49,31,15,17,10,3,2,9,4,23,15,14,9,96
56177,"VENIER Stephanie","AUT",1993,2009,2017,8,9,18,6,2017,1.55,16,24,8,6,8,17,20,15,20,12,19,6,17,60,35,35,109
505632,"LINDELL-VIKARBY Jessica","SWE",1984,2000,2008,8,9,19,7,2009,3.65,16,24,"","","","","","","","",567,302,167,112,72,26,10
298323,"GOGGIA Sofia","ITA",1992,2008,2017,9,10,19,1,2022,0,16,25,1,3,13,1,1,5,7,8,6,7,20,50,45,29,43
55576,"GOERGL Elisabeth","AUT",1981,1997,2006,9,10,22,2,2008,0.85,16,25,"","","","","","","","",95,18,14,8,6,12,9
516284,"GISIN Michelle","SUI",1993,2009,2018,9,10,18,4,2018,2.31,16,25,45,20,19,9,9,17,30,24,4,156,92,78,71,84,90
299276,"BASSINO Marta","ITA",1996,2012,2021,9,10,15,7,2024,1.47,16,25,26,13,7,8,11,8,16,29,57,92,153,167,188,181,477
56088,"TIPPLER Tamara","AUT",1991,2007,2016,9,10,19,7,2016,2.37,16,25,"",44,42,10,10,18,10,7,17,35,7,47,56,60,57
516248,"FLURY Jasmine","SUI",1993,2009,2018,9,10,18,9,2021,4.08,16,25,38,33,25,25,13,9,13,13,13,23,33,33,115,47,47
297702,"MARSAGLIA Francesca","ITA",1990,2006,2015,9,10,18,12,2015,4.08,16,25,"","","",39,32,25,13,14,120,17,16,12,29,75,48
56328,"ORTLIEB Nina","AUT",1996,2012,2021,9,10,15,13,2021,6.15,16,25,25,23,24,18,18,13,18,36,36,42,40,55,106,190,462
426257,"LIE Kajsa Vickhoff","NOR",1998,2015,2024,9,10,12,10,2026,3.08,17,26,10,11,11,22,23,20,22,16,46,61,112,186,"","",""
56392,"GRITSCH Franziska","AUT",1997,2014,2023,9,10,13,14,2023,5.96,17,26,54,27,16,14,36,84,51,43,42,65,208,198,196,"",""
297601,"BRIGNONE Federica","ITA",1990,2006,2016,10,11,21,1,2022,0,16,26,1,1,1,1,1,2,2,9,5,8,6,18,127,127,118
565360,"STUHEC Ilka","SLO",1990,2006,2016,10,11,21,2,2017,0.78,16,26,24,60,26,28,77,82,11,10,31,2,12,29,16,28,52
425929,"MOWINCKEL Ragnhild","NOR",1992,2008,2018,10,11,19,4,2019,1.18,16,26,39,15,6,7,8,7,12,4,10,16,22,26,24,45,106
155763,"LEDECKA Ester","CZE",1995,2011,2021,10,11,16,6,2021,1.85,16,26,15,8,9,19,7,6,26,28,21,89,90,104,104,589,1142
505886,"KLING Kajsa","SWE",1988,2004,2014,10,11,20,8,2014,3.57,16,26,"","","",669,342,309,156,99,60,11,10,12,8,79,94
515560,"SCHILD Martina","SUI",1981,1997,2007,10,11,18,11,2008,3.05,16,26,"","","","","","","","","","","","",43,43,12
705423,"VLHOVA Petra","SVK",1995,2011,2021,10,11,16,11,2021,5.39,16,26,248,209,113,42,15,11,29,146,163,188,296,308,476,262,272
538305,"SMITH Leanne","USA",1987,2003,2013,10,11,17,12,2013,4.81,16,26,"","","","","","","",231,148,52,46,37,22,12,16
516185,"HAEHLEN Joana","SUI",1992,2008,2018,10,11,19,14,2018,4.74,16,26,47,30,23,24,22,19,21,18,14,21,55,46,36,38,77
296427,"SCHNARF Johanna","ITA",1984,2000,2011,11,12,21,7,2018,2.29,16,27,"","","","","","",9,31,7,20,9,35,58,58,18
538573,"ROSS Laurenne","USA",1988,2004,2016,12,13,22,8,2016,3.1,16,28,"",466,240,123,69,64,58,58,28,14,8,17,41,16,29
197497,"MIRADOLI Romane","FRA",1994,2010,2022,12,13,17,9,2026,2.91,16,28,9,10,14,12,12,27,27,17,26,38,18,34,42,42,41
196928,"WORLEY Tessa","FRA",1989,2005,2017,12,13,21,10,2017,4.02,16,28,"",35,17,16,19,26,33,41,18,10,21,39,25,23,79
515573,"AUFDENBLATTEN Fraenzi","SUI",1981,1997,2009,12,13,19,12,2009,4.27,16,28,"","","","","","","","","","","",102,20,18,12
206668,"WEIDLE-WINKELMANN Kira","GER",1996,2012,2024,12,13,15,14,2025,5.37,16,28,16,14,15,27,30,57,51,89,102,135,113,116,204,447,620
55766,"STERZ Regina","AUT",1985,2001,2014,13,14,16,11,2014,4.49,16,29,"","","","","","","","","","",127,23,11,17,27
56125,"PUCHNER Mirjam","AUT",1992,2008,2022,14,15,19,9,2025,2.89,16,30,21,9,10,13,14,51,57,52,49,27,28,27,34,66,67
296431,"STUFFER Verena","ITA",1984,2000,2014,14,15,20,10,2014,4.45,16,30,"","","","","","","",331,140,94,107,22,10,39,30
495318,"RUIZ CASTILLO Carolina","ESP",1981,1998,2013,15,16,21,11,2013,5,17,32,"","","","","","","","",480,270,145,30,31,11,26
