"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
53831,"HIRSCHER Marcel","NED",1989,2005,2008,3,4,22,1,2013,0,16,19,1069,430,86,55,46,36,1,1,1,1,2,2,1,1,3
422729,"PINHEIRO BRAATHEN Lucas","BRA",2000,2017,2020,3,4,10,1,2023,0,17,20,7,9,1,1,12,18,11,68,206,570,"","","","",""
50625,"RAICH Benjamin","AUT",1978,1996,1999,3,4,25,1,2001,0,18,21,"","","","","","",2100,1247,613,289,152,24,17,14,16
422304,"KRISTOFFERSEN Henrik","NOR",1994,2010,2014,4,5,17,1,2016,0,16,20,1,1,1,1,1,1,1,3,2,2,1,5,3,21,31
50707,"MATT Mario","AUT",1979,1996,2000,4,5,21,1,2007,0,17,21,"","","","","","","","","","",163,30,4,5,7
6190403,"NOEL Clement","FRA",1997,2014,2018,4,5,13,1,2020,0,17,21,1,1,10,1,1,1,1,2,14,61,133,257,634,"",""
202462,"DOPFER Fritz","GER",1987,2008,2012,4,5,15,3,2015,1.19,21,25,"","","","",96,84,68,48,23,31,4,3,7,7,8
54320,"SCHWARZ Marco","AUT",1995,2011,2016,5,6,16,1,2021,0,16,21,18,10,9,18,1,1,8,9,16,15,8,46,110,112,531
422732,"MCGRATH Atle Lie","NOR",2000,2017,2022,5,6,10,1,2022,0,17,22,1,7,7,1,1,57,58,166,220,565,"","","","",""
6293171,"VINATZER Alex","ITA",1999,2016,2021,5,6,11,11,2021,1.57,17,22,20,18,20,15,13,11,16,29,116,160,423,"","","",""
292491,"MOELGG Manfred","ITA",1982,1998,2004,6,7,26,1,2008,0,16,22,"","","",45,31,25,19,13,8,4,17,23,10,6,26
501017,"MYHRER Andre","SWE",1983,1999,2005,6,7,25,1,2012,0,16,22,"","","",44,37,13,9,13,3,8,6,12,12,4,1
501101,"BYGGMARK Jens","SWE",1985,2001,2007,6,7,18,3,2007,1.98,16,22,"","","","","","","","",243,67,24,20,31,9,9
534562,"LIGETY Ted","USA",1984,2000,2006,6,7,23,4,2006,1.85,16,22,"","","","",2560,2168,1141,600,284,242,191,112,24,20,15
194364,"PINTURAULT Alexis","FRA",1991,2007,2013,6,7,20,5,2019,0.38,16,22,36,36,32,14,9,9,7,5,10,14,12,13,9,8,18
380260,"KOSTELIC Ivica","CRO",1979,1996,2002,6,7,24,1,2002,0,17,23,"","","","","","","",384,191,126,86,27,15,3,2
180919,"HALLBERG Eduard","FIN",2003,2020,2026,6,7,7,12,2026,2.31,17,23,12,37,47,122,188,498,875,"","","","","","","",""
192665,"GRANGE Jean-Baptiste","FRA",1984,2000,2007,7,8,23,1,2009,0,16,23,"","","","",26,28,25,22,21,19,17,9,8,23,22
512182,"MEILLARD Loic","SUI",1996,2012,2019,7,8,15,1,2025,0,16,23,1,1,8,11,14,10,23,15,19,40,87,94,298,898,1521
201702,"NEUREUTHER Felix","GER",1984,2000,2007,7,8,24,1,2015,0,16,23,"","","",79,56,47,31,11,23,3,3,1,2,2,6
511996,"YULE Daniel","SUI",1993,2009,2016,7,8,18,1,2020,0,16,23,20,8,1,1,1,1,1,4,5,10,13,16,39,83,138
50624,"PRANGER Manfred","AUT",1978,1996,2003,7,8,20,2,2009,0.33,18,25,"","","","","","","","","","","",129,51,12,10
422082,"FOSS-SOLEVAAG Sebastian","NOR",1991,2007,2015,8,9,20,1,2021,0,16,24,80,78,34,9,1,1,10,20,7,21,11,11,20,75,108
422507,"HAUGAN Timon","NOR",1996,2012,2020,8,9,15,1,2025,0,16,24,1,1,11,20,24,20,15,84,71,135,220,733,1267,2018,4031
