"Fiscode","Name","Nation","BirthYear","FirstSeason","FirstTopSeason","YearsElapsed","SeasonsToTopRank","SeasonsTracked","BestRankCareer","BestRankSeason","BestFisPointsCareer","AgeFirstRanking","AgeFirstTopRank","Rank2026","Rank2025","Rank2024","Rank2023","Rank2022","Rank2021","Rank2020","Rank2019","Rank2018","Rank2017","Rank2016","Rank2015","Rank2014","Rank2013","Rank2012"
6535237,"SHIFFRIN Mikaela","USA",1995,2011,2013,2,3,16,1,2013,0,16,18,1,1,1,1,1,1,1,1,1,1,3,1,1,1,17
385116,"LJUTIC Zrinka","CRO",2004,2021,2023,2,3,6,1,2025,0,17,19,1,1,7,12,27,44,"","","","","","","","",""
516528,"MEILLARD Melanie","SUI",1998,2015,2017,2,3,12,9,2026,4.44,17,19,9,10,32,34,29,18,12,72,13,15,60,173,"","",""
805009,"COLTURI Lara","ALB",2006,2023,2025,2,3,4,13,2026,6.07,17,19,13,14,49,99,"","","","","","","","","","",""
155415,"STRACHOVA Sarka","CZE",1985,2001,2004,3,4,18,2,2007,1.44,16,19,"","","","","","","","",31,5,4,4,12,16,25
425771,"HAVER-LOESETH Nina","NOR",1989,2005,2008,3,4,22,8,2016,3.2,16,19,1631,844,378,112,43,12,11,24,8,8,8,9,14,22,61
206001,"HOEFL-RIESCH Maria","GER",1984,2000,2004,4,5,16,1,2009,0,16,20,"","","","","","","","","","","",31,5,9,7
516280,"HOLDENER Wendy","SUI",1993,2009,2013,4,5,18,1,2023,0,16,20,5,1,1,1,6,5,4,3,3,2,5,8,13,8,43
55690,"HOSP Nicole","AUT",1983,1999,2003,4,5,18,2,2008,1.28,16,20,"","","","","","","","","","",31,9,10,15,26
55838,"ZETTEL Kathrin","AUT",1986,2002,2006,4,5,15,2,2010,0.92,16,20,"","","","","","","","","","",31,5,7,5,5
206279,"ACKERMANN Christina","GER",1990,2006,2010,4,5,18,10,2010,4.28,16,20,"","","",133,46,35,31,11,19,14,21,44,21,23,16
537772,"STIEGLER Resi","USA",1985,2001,2005,4,5,22,12,2005,4.78,16,20,"","","","",66,73,76,132,24,18,13,22,30,31,23
56388,"LIENSBERGER Katharina","AUT",1997,2014,2018,4,5,13,1,2021,0,17,21,6,6,20,4,1,1,8,7,10,58,79,207,526,"",""
56367,"GALLHUBER Katharina","AUT",1997,2014,2018,4,5,13,6,2018,3.86,17,21,48,44,35,29,25,42,7,25,6,41,40,120,296,"",""
185140,"POUTIAINEN Tanja","FIN",1980,1996,2001,5,6,21,1,2005,0,16,21,"","","","","","","","","","",191,107,25,7,6
705423,"VLHOVA Petra","SVK",1995,2011,2016,5,6,16,1,2020,0,16,21,1,1,1,1,1,1,1,2,4,6,6,31,31,43,77
55759,"KIRCHGASSER Michaela","AUT",1985,2001,2006,5,6,26,2,2012,2.64,16,21,4052,3720,3190,2387,1421,1289,582,306,127,21,9,16,16,12,2
705287,"VELEZ ZUZULOVA Veronika","SVK",1984,2000,2005,5,6,27,2,2016,0.47,16,21,3943,3482,2810,1907,1017,904,363,203,31,3,2,6,31,4,4
505760,"PIETILAE HOLMNER Maria","SWE",1986,2002,2007,5,6,19,4,2011,2.8,16,21,"","","","","","",144,81,76,24,11,7,4,6,14
206355,"DUERR Lena","GER",1991,2007,2012,5,6,20,6,2024,1.2,16,21,10,8,6,7,7,15,52,18,20,19,22,18,80,21,12
56315,"TRUPPE Katharina","AUT",1996,2012,2017,5,6,15,6,2019,4.3,16,21,11,11,15,11,8,7,10,6,16,12,23,39,109,304,346
506350,"EKLUND Nathalie","SWE",1992,2008,2013,5,6,13,13,2013,4.8,16,21,"","","","","","",187,109,108,103,92,36,23,13,31
565471,"HROVAT Meta","SLO",1998,2015,2020,5,6,12,15,2020,5.71,17,22,743,357,102,61,48,37,15,21,41,107,121,518,"","",""
506874,"KERVEN Michelle","SWE",1998,2015,2020,5,6,11,15,2020,6,17,22,"",330,160,119,276,231,15,31,200,289,377,592,"","",""
107747,"SMART Amelia","CAN",1998,2015,2020,5,6,12,15,2020,6,17,22,28,35,31,25,21,47,15,31,77,105,111,488,"","",""
55590,"SCHILD Marlies","AUT",1981,1997,2003,6,7,19,1,2007,0,16,22,"","","","","","","","","","","",31,3,24,1
505610,"BORSSEN Therese","SWE",1984,2000,2006,6,7,16,3,2007,3.04,16,22,"","","","","","","","","","","",60,38,17,8
296354,"COSTAZZA Chiara","ITA",1984,2000,2006,6,7,21,7,2008,3.38,16,22,"","","","","","",47,16,15,11,24,15,19,26,56
106961,"MIELZYNSKI Erin","CAN",1990,2006,2012,6,7,18,11,2013,4.72,16,22,"","","",43,18,11,28,15,12,25,17,13,31,11,15
516562,"RAST Camille","SUI",1999,2016,2022,6,7,11,1,2025,0,17,23,1,1,13,16,11,58,103,61,56,56,162,"","","",""
507168,"AICHER Emma","GER",2003,2020,2026,6,7,7,15,2026,6.88,17,23,15,16,44,35,34,81,251,"","","","","","","",""
299699,"PETERLINI Martina","ITA",1997,2014,2020,6,7,13,15,2020,10.38,17,23,29,25,25,46,37,23,15,73,88,201,309,796,862,"",""
516284,"GISIN Michelle","SUI",1993,2009,2016,7,8,18,4,2021,0.68,16,23,77,17,16,8,4,4,13,12,11,16,15,19,31,49,179
506146,"SWENN LARSSON Anna","SWE",1991,2007,2014,7,8,20,4,2019,0.53,16,23,7,7,4,5,12,6,5,4,7,31,19,21,9,19,21
56032,"SCHILD Bernadette","AUT",1990,2006,2013,7,8,21,5,2018,3.22,16,23,648,304,77,37,15,9,9,8,5,7,16,17,8,10,28
105269,"GAGNON Marie-Michele","CAN",1989,2005,2012,7,8,21,6,2014,3.9,16,23,"",2401,1481,682,262,199,98,56,80,20,10,11,6,14,10
196806,"NOENS Nastasia","FRA",1988,2004,2011,7,8,22,7,2016,3.01,16,23,"",45,24,21,35,54,41,14,25,31,7,13,11,28,11
426187,"LYSDAHL Kristin","NOR",1996,2012,2019,7,8,15,9,2019,5.01,16,23,137,82,63,33,26,17,33,9,79,154,177,194,515,747,772
56392,"GRITSCH Franziska","AUT",1997,2014,2021,7,8,13,10,2021,7.33,17,24,51,79,17,17,16,10,74,68,70,110,358,327,331,"",""
505679,"HANSDOTTER Frida","SWE",1985,2001,2009,8,9,20,1,2016,0,16,24,"","","","","","",6,5,2,4,1,2,2,3,9
565401,"BUCIK JOGAN Ana","SLO",1993,2009,2017,8,9,18,10,2022,5.1,16,24,60,57,14,15,10,22,40,48,22,12,29,85,98,101,164
425981,"SKJOELD Maren","NOR",1993,2009,2017,8,9,15,10,2017,4.82,16,24,"","","",408,152,118,65,28,27,10,31,158,113,120,212
56333,"MAIR Chiara","AUT",1996,2012,2020,8,9,13,13,2021,8.51,16,24,"","",54,28,20,13,14,51,57,61,73,146,349,381,823
565463,"SLOKAR Andreja","SLO",1997,2014,2022,8,9,13,5,2022,0.77,17,25,14,15,5,6,5,24,112,111,195,222,468,483,612,"",""
107427,"ST-GERMAIN Laurence","CAN",1994,2010,2019,9,10,17,8,2021,5.24,16,25,19,24,10,13,14,8,43,10,28,47,49,45,197,235,549
506341,"WIKSTROEM Emelie","SWE",1992,2008,2017,9,10,16,9,2017,4.65,16,25,"","","",129,45,40,37,25,21,9,20,24,17,31,19
385096,"POPOVIC Leona","CRO",1997,2014,2023,9,10,13,9,2024,4.57,17,26,17,20,9,10,30,71,108,162,154,134,98,99,376,"",""
296259,"MOELGG Manuela","ITA",1983,1999,2009,10,11,21,9,2011,4.62,16,26,"","","","","","","",240,101,27,26,25,96,36,13
55977,"THALMANN Carmen","AUT",1989,2005,2015,10,11,15,12,2015,4.23,16,26,"","","","","","","",54,26,44,12,12,22,25,24
206536,"WALLNER Marina","GER",1994,2010,2020,10,11,13,15,2020,5.37,16,26,"","","","",85,79,15,31,18,22,59,52,46,117,283
565243,"MAZE Tina","SLO",1983,1999,2010,11,12,22,2,2013,1.02,16,27,"","","","","","",3,31,31,31,31,3,15,2,3
